payroll,CH081801FIN,30042021,20520210732,,,,
FIV,20002266,,C,BAS,4/30/2021,EMP,400.65
FIV,20002266,,C,ERS,4/30/2021,ERS,801.3
FIV,20002287,,C,BAS,4/30/2021,EMP,410.175
FIV,20002287,,C,ERS,4/30/2021,ERS,820.35
FIV,20002296,,C,BAS,4/30/2021,EMP,294.15
FIV,20002296,,C,ERS,4/30/2021,ERS,588.3
FIV,20002323,,C,BAS,4/30/2021,EMP,294.15
FIV,20002323,,C,ERS,4/30/2021,ERS,588.3
FIV,20002326,,C,BAS,4/30/2021,EMP,294.15
FIV,20002326,,C,ERS,4/30/2021,ERS,588.3
FIV,20002334,,C,BAS,4/30/2021,EMP,302.175
FIV,20002334,,C,ERS,4/30/2021,ERS,604.35
FIV,20002354,,C,BAS,4/30/2021,EMP,294.15
FIV,20002354,,C,ERS,4/30/2021,ERS,588.3
FIV,20002361,,C,BAS,4/30/2021,EMP,294.15
FIV,20002361,,C,ERS,4/30/2021,ERS,588.3
FIV,20002379,,C,BAS,4/30/2021,EMP,310.2
FIV,20002379,,C,ERS,4/30/2021,ERS,620.4
FIV,20002384,,C,BAS,4/30/2021,EMP,262.05
FIV,20002384,,C,ERS,4/30/2021,ERS,524.1
FIV,20002389,,C,BAS,4/30/2021,EMP,294.15
FIV,20002389,,C,ERS,4/30/2021,ERS,588.3
FIV,20002424,,C,BAS,4/30/2021,EMP,354.825
FIV,20002424,,C,ERS,4/30/2021,ERS,709.65
FIV,20002434,,C,BAS,4/30/2021,EMP,319.125
FIV,20002434,,C,ERS,4/30/2021,ERS,638.25
FIV,20002487,,C,BAS,4/30/2021,EMP,400.65
FIV,20002487,,C,ERS,4/30/2021,ERS,801.3
FIV,20002492,,C,BAS,4/30/2021,EMP,294.15
FIV,20002492,,C,ERS,4/30/2021,ERS,588.3
FIV,20002495,,C,BAS,4/30/2021,EMP,294.15
FIV,20002495,,C,AVC,4/30/2021,EMP,294.15
FIV,20002495,,C,ERS,4/30/2021,ERS,588.3
FIV,20002524,,C,BAS,4/30/2021,EMP,237.975
FIV,20002524,,C,ERS,4/30/2021,ERS,475.95
FIV,20002532,,C,BAS,4/30/2021,EMP,278.1
FIV,20002532,,C,ERS,4/30/2021,ERS,556.2
FIV,20002533,,C,BAS,4/30/2021,EMP,372.675
FIV,20002533,,C,AVC,4/30/2021,EMP,372.675
FIV,20002533,,C,ERS,4/30/2021,ERS,745.35
FIV,20002536,,C,BAS,4/30/2021,EMP,475.475
FIV,20002536,,C,ERS,4/30/2021,ERS,950.955
FIV,20002550,,C,BAS,4/30/2021,EMP,294.15
FIV,20002550,,C,ERS,4/30/2021,ERS,588.3
FIV,20002582,,C,BAS,4/30/2021,EMP,221.925
FIV,20002582,,C,ERS,4/30/2021,ERS,443.85
FIV,20002586,,C,BAS,4/30/2021,EMP,345.9
FIV,20002586,,C,ERS,4/30/2021,ERS,691.8
FIV,20002602,,C,BAS,4/30/2021,EMP,381.6
FIV,20002602,,C,ERS,4/30/2021,ERS,763.2
FIV,20002627,,C,BAS,4/30/2021,EMP,270.075
FIV,20002627,,C,ERS,4/30/2021,ERS,540.15
FIV,20002665,,C,BAS,4/30/2021,EMP,562.075
FIV,20002665,,C,ERS,4/30/2021,ERS,1124.15
FIV,20002679,,C,BAS,4/30/2021,EMP,294.15
FIV,20002679,,C,ERS,4/30/2021,ERS,588.3
FIV,20002684,,C,BAS,4/30/2021,EMP,246
FIV,20002684,,C,ERS,4/30/2021,ERS,492
FIV,20002685,,C,BAS,4/30/2021,EMP,310.2
FIV,20002685,,C,ERS,4/30/2021,ERS,620.4
FIV,20002686,,C,BAS,4/30/2021,EMP,363.75
FIV,20002686,,C,AVC,4/30/2021,EMP,363.75
FIV,20002686,,C,ERS,4/30/2021,ERS,727.5
FIV,20002690,,C,BAS,4/30/2021,EMP,391.125
FIV,20002690,,C,ERS,4/30/2021,ERS,782.25
FIV,20002691,,C,BAS,4/30/2021,EMP,381.6
FIV,20002691,,C,AVC,4/30/2021,EMP,381.6
FIV,20002691,,C,ERS,4/30/2021,ERS,763.2
FIV,20002734,,C,BAS,4/30/2021,EMP,221.925
FIV,20002734,,C,ERS,4/30/2021,ERS,443.85
FIV,20002778,,C,BAS,4/30/2021,EMP,363.75
FIV,20002778,,C,ERS,4/30/2021,ERS,727.5
FIV,20002795,,C,BAS,4/30/2021,EMP,372.675
FIV,20002795,,C,ERS,4/30/2021,ERS,745.35
FIV,20002859,,C,BAS,4/30/2021,EMP,495.9
FIV,20002859,,C,ERS,4/30/2021,ERS,991.8
FIV,20002863,,C,BAS,4/30/2021,EMP,310.2
FIV,20002863,,C,ERS,4/30/2021,ERS,620.4
FIV,20002869,,C,BAS,4/30/2021,EMP,310.2
FIV,20002869,,C,ERS,4/30/2021,ERS,620.4
FIV,20002870,,C,BAS,4/30/2021,EMP,363.75
FIV,20002870,,C,ERS,4/30/2021,ERS,727.5
FIV,20002871,,C,BAS,4/30/2021,EMP,221.925
FIV,20002871,,C,ERS,4/30/2021,ERS,443.85
FIV,20002873,,C,BAS,4/30/2021,EMP,294.15
FIV,20002873,,C,ERS,4/30/2021,ERS,588.3
FIV,20002874,,C,BAS,4/30/2021,EMP,246
FIV,20002874,,C,ERS,4/30/2021,ERS,492
FIV,20002880,,C,BAS,4/30/2021,EMP,191.225
FIV,20002880,,C,ERS,4/30/2021,ERS,382.45
FIV,20002919,,C,BAS,4/30/2021,EMP,469.05
FIV,20002919,,C,ERS,4/30/2021,ERS,938.1
FIV,20002949,,C,BAS,4/30/2021,EMP,372.675
FIV,20002949,,C,ERS,4/30/2021,ERS,745.35
FIV,20002971,,C,BAS,4/30/2021,EMP,410.175
FIV,20002971,,C,AVC,4/30/2021,EMP,410.175
FIV,20002971,,C,ERS,4/30/2021,ERS,820.35
FIV,20002979,,C,BAS,4/30/2021,EMP,191.225
FIV,20002979,,C,ERS,4/30/2021,ERS,382.45
FIV,20002983,,C,BAS,4/30/2021,EMP,246
FIV,20002983,,C,ERS,4/30/2021,ERS,492
FIV,20002987,,C,BAS,4/30/2021,EMP,410.175
FIV,20002987,,C,ERS,4/30/2021,ERS,820.35
FIV,20003013,,C,BAS,4/30/2021,EMP,319.125
FIV,20003013,,C,ERS,4/30/2021,ERS,638.25
FIV,20003027,,C,BAS,4/30/2021,EMP,436.15
FIV,20003027,,C,ERS,4/30/2021,ERS,872.3
FIV,20003039,,C,BAS,4/30/2021,EMP,229.95
FIV,20003039,,C,ERS,4/30/2021,ERS,459.9
FIV,20003093,,C,BAS,4/30/2021,EMP,294.15
FIV,20003093,,C,ERS,4/30/2021,ERS,588.3
FIV,20003146,,C,BAS,4/30/2021,EMP,489.26
FIV,20003146,,C,ERS,4/30/2021,ERS,978.52
FIV,20003158,,C,BAS,4/30/2021,EMP,345.9
FIV,20003158,,C,ERS,4/30/2021,ERS,691.8
FIV,20003206,,C,BAS,4/30/2021,EMP,363.75
FIV,20003206,,C,ERS,4/30/2021,ERS,727.5
FIV,20003221,,C,BAS,4/30/2021,EMP,221.925
